UF;CBO Ocupação 2002;CNAE 2.0 Classe;Escolaridade após 2005;Idade;Raça Cor;Vl Remun Dezembro Nom;Sexo Trabalhador
MS;317210;62031;                  07;  28;08;2812.00;                  01
MS;317110;95118;                  07;  27;09;1578.99;                  01
MS;317110;95118;                  07;  19;09;1358.00;                  01
MS;317110;62091;                  07;  41;02;6309.00;                  01
MS;142520;62091;                  07;  42;02;15209.00;                  01
MS;317110;47512;                  07;  25;02;1700.00;                  01
MS;212405;47512;                  07;  28;08;1522.50;                  01
MS;317210;47512;                  07;  26;08;766.67;                  01
MS;212420;47512;                  07;  26;08;1500.00;                  01
MS;212405;47512;                  07;  25;08;2000.00;                  01
MS;212405;47512;                  07;  26;08;2000.00;                  01
MS;212420;47512;                  07;  25;08;3500.00;                  01
MS;212405;47512;                  07;  20;08;2000.00;                  01
MS;317110;47512;                  07;  23;09;2045.00;                  01
MS;317210;47512;                  07;  25;02;3000.00;                  01
MS;317110;47512;                  07;  22;08;2500.00;                  01
MS;212405;47512;                  07;  19;08;2000.00;                  01
MS;317110;47512;                  07;  22;08;3000.00;                  01
MS;317210;47512;                  07;  22;08;1522.50;                  01
MS;317110;47512;                  07;  21;08;1522.50;                  01
MS;317210;47512;                  07;  19;08;1500.00;                  01
MS;317110;47512;                  07;  21;08;4000.00;                  01
MS;212420;47512;                  07;  49;08;2500.00;                  01
MS;317210;47512;                  07;  36;08;3362.25;                  01
MS;317210;86909;                  07;  26;02;2244.00;                  01
MS;317210;95118;                  07;  32;08;1512.00;                  01
MS;317210;95118;                  07;  31;08;1910.74;                  01
MS;212420;95118;                  07;  22;08;1512.00;                  01
MS;317210;95118;                  07;  25;02;1575.00;                  01
MS;317110;62015;                  07;  27;02;2000.00;                  01
MS;317210;62015;                  07;  21;09;1600.00;                  01
MS;317210;62015;                  07;  22;09;1800.00;                  01
MS;317210;86909;                  07;  32;08;3893.71;                  01
MS;317205;85325;                  07;  21;08;453.20;                  01
MS;317210;84116;                  07;  28;99;2611.42;                  01
MS;317210;62091;                  07;  30;02;1680.00;                  01
MS;317210;62091;                  07;  26;08;1470.00;                  01
MS;317110;62091;                  07;  42;08;4200.00;                  01
MS;317210;62091;                  07;  41;08;2000.00;                  01
MS;317210;86909;                  07;  21;02;2124.00;                  01
MS;317210;86101;                  07;  33;09;5286.56;                  01
MS;317205;85325;                  07;  39;02;2074.51;                  01
MS;212420;62091;                  07;  24;02;1579.34;                  01
MS;212405;86909;                  07;  46;08;3976.84;                  01
MS;317205;94308;                  07;  32;09;1364.20;                  01
MS;317110;47512;                  07;  21;08;1416.60;                  01
MS;317110;47512;                  07;  27;02;2901.43;                  01
MS;317110;47512;                  07;  42;08;1854.05;                  01
MS;212420;47512;                  07;  42;08;1483.47;                  01
MS;317210;49302;                  07;  35;08;3479.24;                  01
MS;212420;47512;                  07;  35;08;2048.21;                  01
MS;212420;47512;                  07;  32;08;1714.30;                  01
MS;317110;47512;                  07;  27;02;1986.05;                  01
MS;142530;85317;                  07;  23;99;2446.96;                  01
MS;212420;62023;                  07;  30;08;3304.00;                  01
MS;212420;62023;                  07;  25;09;2390.00;                  01
